industry_code,industry_name,avg_spc_5_year,avg_npm_5_year,spc_1011,npm_1011,spc_1112,npm_1112,spc_1213,npm_1213,spc_1314,npm_1314
6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",0.052912668,0.048085579,0.054111286,0.051050846,0.046961246,0.046462708,0.049827362,0.050093857,0.057688843,0.050322046
6211,Offices of Physicians,0.051625109,0.121722925,0.045409269,0.115482682,0.05284943,0.120589336,0.055782992,0.124069113,0.053146674,0.122886116
4453,"Beer, Wine, and Liquor Stores",0.050645771,0.020125737,0.034817083,0.018318767,0.056589446,0.020210314,0.058442313,0.027249403,0.047615439,0.013370027
7212,RV (Recreational Vehicle) Parks and Recreational Camps,0.050087912,0.021891489,0.027211987,0.001683067,0.049499198,0.023633633,0.060713379,0.017680418,0.057080552,0.024240199
1114,"Greenhouse, Nursery, and Floriculture Production",0.049675498,0.002187021,-0.016128203,-0.019604388,0.060772878,-0.011070723,0.09909891,0.020284914,0.055786276,0.013095092
4422,Home Furnishings Stores,0.04958724,0.020461944,0.012666779,0.002586959,0.038638914,0.010352824,0.062649519,0.034696463,0.089215639,0.032035036
5321,Automotive Equipment Rental and Leasing,0.049174606,0.080508043,0.001477348,0.059893842,0.069703137,0.050994022,0.063835863,0.102330155,0.048013353,0.095803872
7139,Other Amusement and Recreation Industries,0.04842408,-0.001933857,0.026573633,-0.007064421,0.048913448,-0.022747273,0.072040416,-0.001909349,0.046201777,0.017551796
7224,Drinking Places (Alcoholic Beverages),0.048274471,0.028669319,0.032801522,0.024263204,0.053164779,0.015980005,0.060353858,0.030211131,0.046012844,0.037664323
8134,Civic and Social Organizations,0.047206541,0.044524762,0.014108639,0.050939249,0.056671469,0.037849068,0.039006605,0.040141305,0.058136564,0.057745624
4441,Building Material and Supplies Dealers,0.047071603,0.018529548,0.013112851,0.008121114,0.054725031,0.018921935,0.063803155,0.021161893,0.059991271,0.025452368
8131,Religious Organizations,0.046323274,0.108348623,0.029010085,0.090391437,0.03177627,0.092863466,0.062766882,0.121189707,0.045294783,0.121956825
3231,Printing and Related Support Activities,0.046312045,0.02563093,0.057109769,0.018458437,0.036335153,0.015847045,0.046637289,0.035516592,0.044754519,0.030699551
6231,Nursing Care Facilities (Skilled Nursing Facilities),0.044798698,0.046447143,0.062654311,0.048057379,0.052151241,0.04879528,0.02601505,0.040472929,0.036910751,0.037528161
6215,Medical and Diagnostic Laboratories,0.044722107,0.087191378,0.028733715,0.04445397,0.10265412,0.101091748,0.07657409,0.093017802,0.010930504,0.112794254
5311,Lessors of Real Estate,0.044021502,0.085858129,0.0303945,0.053476154,0.039043628,0.069189423,0.055336512,0.095443163,0.047390023,0.116979601
5511,Management of Companies and Enterprises,0.040868458,0.085938528,0.024042504,0.072902956,0.052928095,0.072765714,0.047028738,0.073851595,0.024035349,0.134163761
2372,Land Subdivision,0.040408788,-0.045371655,0.030210187,-0.07061664,-0.109580064,-0.076325783,0.144440107,-0.037244347,0.088009278,-0.02026302
8122,Death Care Services,0.037317239,0.076623017,0.044952175,0.07168661,0.031372786,0.06861566,0.032009698,0.078310901,0.044633642,0.087411959
4532,"Office Supplies, Stationery, and Gift Stores",0.034412412,0.022313875,0.036675686,0.01902068,0.034397108,0.020238957,0.037327919,0.034547483,0.019514364,0.012475405
8139,"Business, Professional, Labor, Political, and Similar Organizations",0.032394495,0.047026712,0.021465419,0.025708411,0.026668079,0.046802536,0.048662072,0.048797221,0.043988805,0.059142862
5111,"Newspaper, Periodical, Book, and Directory Publishers",0.022853349,0.032301345,0.016893194,0.041326191,0.054332688,0.018346441,0.03063252,0.040882875,-0.015117587,0.034891763
